% f evaluations | g evaluations | best noise-free fitness - Fopt (6.870000000000e+00) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
% f evaluations | g evaluations | best noise-free fitness - Fopt (-2.231200000000e+02) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +2.210043326e+01 -2.010195667e+02 -2.010195667e+02 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
2 0 +1.843384536e+01 -2.046861546e+02 -2.046861546e+02 -2.8324e+00 +1.1551e+00 +3.6495e+00 +8.7412e-01 +2.5933e+00 +2.3072e+00 +2.3335e+00 +3.6564e+00 +1.2316e-01 -9.1763e-01 -2.3945e+00 +8.4062e-01 +2.0736e+00 -4.7673e+00 +2.8888e+00 +5.0055e-01 +3.1040e+00 +2.6302e+00 -3.9411e+00 -6.1395e-01
5 0 +8.976509572e+00 -2.141434904e+02 -2.141434904e+02 -4.0326e+00 -2.8272e+00 -2.3401e+00 -3.0241e+00 +5.9683e-01 -2.7802e+00 +1.6014e+00 -4.9695e+00 -1.6897e+00 +1.5595e+00 +4.2002e+00 +1.4370e+00 +4.5455e-01 +3.8061e+00 -1.3554e+00 +3.5738e+00 -4.0153e+00 +1.8106e+00 -4.8368e+00 -2.9537e-01
8 0 +8.294606149e+00 -2.148253939e+02 -2.148253939e+02 -3.4798e-01 -1.6637e+00 +3.2159e+00 -2.0954e+00 +2.3011e+00 +3.4058e+00 -2.5846e+00 +1.6077e+00 -3.4748e+00 +1.0368e+00 +2.0105e+00 -4.8433e+00 +1.7373e+00 -2.3121e+00 -1.3352e+00 +2.3941e+00 +4.4396e+00 -3.4272e+00 -3.3236e+00 -1.9182e+00
17 0 +4.238894579e+00 -2.188811054e+02 -2.188811054e+02 -1.3597e+00 +3.2405e+00 -4.9179e+00 +2.5456e+00 +1.2286e+00 +1.4495e+00 -3.0825e+00 -2.7510e+00 -1.3076e+00 +3.3158e+00 -1.3834e+00 -4.3820e+00 -3.0182e-01 -1.8346e+00 +2.4192e+00 -1.6174e-01 -4.5730e+00 +4.4313e+00 +3.7061e+00 +2.8973e+00
% f evaluations | g evaluations | best noise-free fitness - Fopt (-4.443000000000e+01) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +1.439186561e+01 -3.003813439e+01 -3.003813439e+01 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
2 0 +1.093239026e+01 -3.349760974e+01 -3.349760974e+01 +2.2740e+00 -4.7036e+00 -2.1494e+00 -3.4213e+00 -3.6763e+00 -6.8293e-01 +3.6261e+00 -1.7738e+00 +6.1033e-01 -4.1566e+00 -1.3613e+00 -4.1130e+00 +2.0065e+00 -2.3565e+00 +1.1066e+00 +2.9762e+00 -4.7195e+00 -3.9985e+00 -2.2108e+00 +1.7545e+00
10 0 +8.543167558e+00 -3.588683244e+01 -3.588683244e+01 -2.1849e+00 +8.6814e-01 +3.3686e+00 +8.9348e-02 +3.9832e+00 -2.8350e+00 +2.8072e-01 +6.2932e-01 -2.5793e-01 -3.4073e-01 -1.6580e+00 -2.2099e+00 +4.2517e+00 +1.7586e+00 +7.0281e-01 +4.3252e+00 +4.0570e+00 -1.1863e+00 -1.6973e-01 -2.9720e-02
12 0 +7.190845941e+00 -3.723915406e+01 -3.723915406e+01 -3.4341e+00 +3.2577e-01 -3.5859e+00 +1.1064e+00 -4.7195e+00 -4.4988e+00 -2.1796e+00 +3.9575e+00 +2.6177e+00 -2.9060e-01 -1.0766e+00 +2.8890e+00 +1.4311e+00 +2.1332e+00 +1.8499e+00 -2.1487e+00 +1.5612e+00 +4.4406e+00 +1.3565e-01 +3.6464e+00
